MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924795,2.7350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-4.4400000
MsgID.LOCAL_POSITION,170.3200000,-0.0988224,0.4279840,-2.7357376
MsgID.LOCAL_VELOCITY,170.3200000,0.0035098,0.0158705,-4.4489775
MsgID.GLOBAL_POSITION,0.0000000,-122.3974459,37.7924786,21.7520000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.6400000,-76.3500000
MsgID.LOCAL_POSITION,170.5700000,-0.1996005,0.6568059,-21.7524166
MsgID.LOCAL_VELOCITY,170.5700000,-0.0175083,0.6422255,-76.3532944
MsgID.GLOBAL_POSITION,0.0000000,-122.3974460,37.7924799,38.6440000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,-0.1100000,-68.9200000
MsgID.LOCAL_POSITION,170.8200000,-0.0536047,0.6457396,-38.6449928
MsgID.LOCAL_VELOCITY,170.8200000,-0.0450020,-0.1145667,-68.9217987
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924808,55.8780000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1400000,-1.3700000,-60.8800000
MsgID.LOCAL_POSITION,171.0700000,0.0370577,0.2114796,-55.8780289
MsgID.LOCAL_VELOCITY,171.0700000,-0.1498630,-1.3727126,-60.8838501
MsgID.GLOBAL_POSITION,0.0000000,-122.3974538,37.7924802,69.4170000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1400000,-1.2900000,-55.2100000
MsgID.LOCAL_POSITION,171.3200000,-0.0283268,-0.0524233,-69.4174652
MsgID.LOCAL_VELOCITY,171.3200000,-0.1413830,-1.2950372,-55.2180901
MsgID.GLOBAL_POSITION,0.0000000,-122.3974555,37.7924791,83.3390000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1300000,-1.2100000,-49.1200000
MsgID.LOCAL_POSITION,171.5700000,-0.1510663,-0.2011180,-83.3397064
MsgID.LOCAL_VELOCITY,171.5700000,-0.1322704,-1.2115680,-49.1297073
MsgID.GLOBAL_POSITION,0.0000000,-122.3974577,37.7924787,94.2020000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1200000,-1.1400000,-44.1300000
MsgID.LOCAL_POSITION,171.8200000,-0.1869554,-0.3956831,-94.2020645
MsgID.LOCAL_VELOCITY,171.8200000,-0.1248014,-1.1431540,-44.1394920
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974624,37.7924790,105.2520000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1100000,-1.0600000,-38.7700000
MsgID.LOCAL_POSITION,172.0700000,-0.1622974,-0.8158573,-105.2524109
MsgID.LOCAL_VELOCITY,172.0700000,-0.1167721,-1.0696076,-38.7749290
MsgID.GLOBAL_POSITION,0.0000000,-122.3974663,37.7924793,113.7960000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1100000,-1.0000000,-34.3600000
MsgID.LOCAL_POSITION,172.3200000,-0.1200085,-1.1598612,-113.7962341
MsgID.LOCAL_VELOCITY,172.3200000,-0.1101645,-1.0090835,-34.3602295
MsgID.GLOBAL_POSITION,0.0000000,-122.3974688,37.7924771,122.3780000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1000000,-0.9400000,-29.5900000
MsgID.LOCAL_POSITION,172.5700000,-0.3685114,-1.3788221,-122.3788910
MsgID.LOCAL_VELOCITY,172.5700000,-0.1030382,-0.9438083,-29.5990009
MsgID.GLOBAL_POSITION,0.0000000,-122.3974709,37.7924766,128.8480000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0900000,-0.8900000,-25.7000000
MsgID.LOCAL_POSITION,172.8200000,-0.4258758,-1.5704535,-128.8482208
MsgID.LOCAL_VELOCITY,172.8200000,-0.0972078,-0.8904026,-25.7035122
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974722,37.7924759,135.1540000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0900000,-0.8300000,-21.5200000
MsgID.LOCAL_POSITION,173.0700000,-0.4967134,-1.6844165,-135.1542206
MsgID.LOCAL_VELOCITY,173.0700000,-0.0909538,-0.8331172,-21.5250492
MsgID.GLOBAL_POSITION,0.0000000,-122.3974763,37.7924763,139.7830000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0800000,-0.7800000,-18.0800000
MsgID.LOCAL_POSITION,173.3200000,-0.4620422,-2.0522704,-139.7834320
MsgID.LOCAL_VELOCITY,173.3200000,-0.0858071,-0.7859749,-18.0864429
MsgID.GLOBAL_POSITION,0.0000000,-122.3974799,37.7924774,144.1190000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0800000,-0.7300000,-14.3800000
MsgID.LOCAL_POSITION,173.5710000,-0.3370115,-2.3666997,-144.1196899
MsgID.LOCAL_VELOCITY,173.5710000,-0.0802665,-0.7352242,-14.3848457
MsgID.GLOBAL_POSITION,0.0000000,-122.3974817,37.7924769,147.1060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0700000,-0.6900000,-11.3500000
MsgID.LOCAL_POSITION,173.8210000,-0.3915794,-2.5244353,-147.1062927
MsgID.LOCAL_VELOCITY,173.8210000,-0.0757246,-0.6936212,-11.3506956
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974815,37.7924766,149.6580000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0700000,-0.6400000,-8.1000000
MsgID.LOCAL_POSITION,174.0710000,-0.4217667,-2.5093434,-149.6589050
MsgID.LOCAL_VELOCITY,174.0710000,-0.0708616,-0.6490772,-8.1020489
MsgID.GLOBAL_POSITION,0.0000000,-122.3974823,37.7924778,151.2540000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0600000,-0.6100000,-5.3000000
MsgID.LOCAL_POSITION,174.3210000,-0.2864858,-2.5819614,-151.2547607
MsgID.LOCAL_VELOCITY,174.3210000,-0.0666683,-0.6106671,-5.3005505
MsgID.GLOBAL_POSITION,0.0000000,-122.3974846,37.7924773,152.2050000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0600000,-0.5700000,-2.5400000
MsgID.LOCAL_POSITION,174.5710000,-0.3519720,-2.7850769,-152.2058716
MsgID.LOCAL_VELOCITY,174.5710000,-0.0625509,-0.5729522,-2.5498118
MsgID.GLOBAL_POSITION,0.0000000,-122.3974884,37.7924764,152.4760000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0500000,-0.5300000,-0.0300000
MsgID.LOCAL_POSITION,174.8210000,-0.4507994,-3.1245027,-152.4765167
MsgID.LOCAL_VELOCITY,174.8210000,-0.0587832,-0.5384413,-0.0327733
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974886,37.7924762,152.1390000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0500000,-0.5000000,2.3500000
MsgID.LOCAL_POSITION,175.0710000,-0.4646255,-3.1391256,-152.1398621
MsgID.LOCAL_VELOCITY,175.0710000,-0.0552079,-0.5056927,2.3557112
MsgID.GLOBAL_POSITION,0.0000000,-122.3974908,37.7924770,151.2190000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0500000,-0.4700000,4.6200000
MsgID.LOCAL_POSITION,175.3210000,-0.3770992,-3.3413751,-151.2172089
MsgID.LOCAL_VELOCITY,175.3210000,-0.0518048,-0.4745205,4.6292529
MsgID.GLOBAL_POSITION,0.0000000,-122.3974916,37.7924771,149.8230000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,-0.4400000,6.6700000
MsgID.LOCAL_POSITION,175.5710000,-0.3670159,-3.4071631,-149.8232269
MsgID.LOCAL_VELOCITY,175.5710000,-0.0487453,-0.4464960,6.6732979
MsgID.GLOBAL_POSITION,0.0000000,-122.3974911,37.7924760,147.7630000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,-0.4100000,8.7600000
MsgID.LOCAL_POSITION,175.8210000,-0.4891793,-3.3633122,-147.7630310
MsgID.LOCAL_VELOCITY,175.8210000,-0.0456091,-0.4177701,8.7684174
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974949,37.7924768,145.5260000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,-0.3900000,10.4800000
MsgID.LOCAL_POSITION,176.0710000,-0.4075198,-3.7000012,-145.5261383
MsgID.LOCAL_VELOCITY,176.0710000,-0.0430337,-0.3941797,10.4888401
MsgID.GLOBAL_POSITION,0.0000000,-122.3974951,37.7924760,142.5000000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0400000,-0.3600000,12.3300000
MsgID.LOCAL_POSITION,176.3210000,-0.4953310,-3.7235060,-142.5008240
MsgID.LOCAL_VELOCITY,176.3210000,-0.0402701,-0.3688655,12.3349619
MsgID.GLOBAL_POSITION,0.0000000,-122.3974959,37.7924756,139.4680000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,-0.3400000,13.8500000
MsgID.LOCAL_POSITION,176.5710000,-0.5393476,-3.7941940,-139.4688721
MsgID.LOCAL_VELOCITY,176.5710000,-0.0380009,-0.3480801,13.8508186
MsgID.GLOBAL_POSITION,0.0000000,-122.3974962,37.7924769,135.5740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.3300000,15.4200000
MsgID.LOCAL_POSITION,176.8210000,-0.3926218,-3.8194706,-135.5748596
MsgID.LOCAL_VELOCITY,176.8210000,-0.0047917,-0.3306457,15.4269342
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974968,37.7924774,131.9450000
MsgID.LOCAL_VELOCITY,0.0000000,0.5200000,-0.3900000,15.7800000
MsgID.LOCAL_POSITION,177.0710000,-0.3333215,-3.8721206,-131.9453583
MsgID.LOCAL_VELOCITY,177.0710000,0.5274214,-0.3985070,15.7823458
MsgID.GLOBAL_POSITION,0.0000000,-122.3974988,37.7924788,127.7870000
MsgID.LOCAL_VELOCITY,0.0000000,1.3500000,-0.5100000,15.6700000
MsgID.LOCAL_POSITION,177.3210000,-0.1750363,-4.0507550,-127.7877960
MsgID.LOCAL_VELOCITY,177.3210000,1.3597834,-0.5163630,15.6758318
MsgID.GLOBAL_POSITION,0.0000000,-122.3975003,37.7924808,124.1780000
MsgID.LOCAL_VELOCITY,0.0000000,2.1500000,-0.6300000,15.3900000
MsgID.LOCAL_POSITION,177.5710000,0.0435676,-4.1854510,-124.1786804
MsgID.LOCAL_VELOCITY,177.5710000,2.1559546,-0.6328854,15.3931637
MsgID.GLOBAL_POSITION,0.0000000,-122.3975024,37.7924874,120.1550000
MsgID.LOCAL_VELOCITY,0.0000000,3.0100000,-0.7500000,15.0800000
MsgID.LOCAL_POSITION,177.8220000,0.7809777,-4.3696713,-120.1551743
MsgID.LOCAL_VELOCITY,177.8220000,3.0102096,-0.7526913,15.0806665
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3975045,37.7924959,116.7140000
MsgID.LOCAL_VELOCITY,0.0000000,3.7600000,-0.8600000,14.7300000
MsgID.LOCAL_POSITION,178.0720000,1.7210923,-4.5570126,-116.7141876
MsgID.LOCAL_VELOCITY,178.0720000,3.7612920,-0.8612871,14.7371569
MsgID.GLOBAL_POSITION,0.0000000,-122.3975066,37.7925067,112.8820000
MsgID.LOCAL_VELOCITY,0.0000000,4.5400000,-0.9700000,14.3900000
MsgID.LOCAL_POSITION,178.3220000,2.9235990,-4.7403846,-112.8824997
MsgID.LOCAL_VELOCITY,178.3220000,4.5497589,-0.9784088,14.3910742
MsgID.GLOBAL_POSITION,0.0000000,-122.3975080,37.7925160,109.5000000
MsgID.LOCAL_VELOCITY,0.0000000,5.2100000,-1.0700000,14.1000000
MsgID.LOCAL_POSITION,178.5720000,3.9535477,-4.8640261,-109.5005264
MsgID.LOCAL_VELOCITY,178.5720000,5.2142563,-1.0778271,14.1069279
MsgID.GLOBAL_POSITION,0.0000000,-122.3975117,37.7925285,105.8980000
MsgID.LOCAL_VELOCITY,0.0000000,5.8700000,-1.1800000,13.8400000
MsgID.LOCAL_POSITION,178.8220000,5.3443136,-5.1947713,-105.8984528
MsgID.LOCAL_VELOCITY,178.8220000,5.8796558,-1.1801775,13.8455315
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3975164,37.7925434,102.5870000
MsgID.LOCAL_VELOCITY,0.0000000,6.5000000,-1.2700000,13.5300000
